mes_ref,codigo,descricao,valor
janeiro,1.1.2.1.01.0.4.000,M/J DIV ATIVA TX DE FISCALIZAÇÃO,6945.65
janeiro,1.1.2.1.01.0.3.000,DIV ATIVA TX FISCALIZAÇÃO,45756.89
janeiro,1.1.2.1.01.0.2.000,M/J TX FISCALIZAÇÃO,242.67
janeiro,1.1.2.1.01.0.1.006,TX DE UTIL AREA DOM PUBLICO,367.71
janeiro,1.1.2.1.01.0.1.005,TX DE LICENÇA PARA EXECUÇÃO DE OBRAS,33422.53
janeiro,1.1.2.1.01.0.1.004,TX AUTORIZAÇÃO,0.0
janeiro,1.1.2.2.01.0.1.002,REMOÇÃO LIXO DOMICILIAR,36883.8
janeiro,1.1.2.1.01.0.1.003,TX DE FUNC DE ESTAB EM HOR ESPECIAL,315.42
janeiro,1.1.2.1.01.0.1.001,TX DE LIC FUNC E ESTAB COMERCIAL,7484.5
janeiro,1.1.1.4.51.1.4.000,Imposto sobre Serviços de Qualquer Natureza - ISSQ,21999.95
janeiro,1.1.1.4.51.1.3.000,Imposto sobre Serviços de Qualquer Natureza - ISSQ,118750.25
janeiro,1.1.1.4.51.1.2.000,Imposto sobre Serviços de Qualquer Natureza - ISSQ,24947.61
janeiro,1.1.1.4.51.1.1.000,Imposto sobre Serviços de Qualquer Natureza - ISSQ,3931659.42
janeiro,1.1.1.3.03.4.1.000,Imposto sobre a Renda - Retido na Fonte - Outros R,152839.97
janeiro,1.1.1.3.03.1.1.001,Imposto sobre a Renda - Retido na Fonte - Trabalho,630374.91
janeiro,1.1.1.2.50.0.4.001,M/J DIV ATIVA IPTU,70176.85
janeiro,1.1.1.2.50.0.3.001,IPTU DIV ATIVA,323935.72
janeiro,1.1.1.2.50.0.2.001,IPTU M/J,972.96
janeiro,1.1.1.2.50.0.1.002,IMP. S/PROP. TERRITORIAL URBANA,43037.06
janeiro,1.1.1.2.50.0.1.001,IMPOSTOS S/PREDIAL URBANO,41089.58
janeiro,1.1.2.1.01.0.1.002,TX DE PUBLICIDADE COMERCIAL,495.54
janeiro,1.3.1.1.02.0.3.001,D A CONCESSÃO DE ESPAÇO,0.0
janeiro,1.1.2.2.01.0.1.003,TAXA PROTEÇÃO DE ACIDENTES,2470.26
janeiro,1.1.2.2.01.0.2.001,M/J TX PREST SERVIÇOS,44.65
janeiro,1.3.1.1.01.1.4.001,M/J DIV ATIVA ALUGUEIS,92.21
